,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
57,1.12502585e-05,8.530127e-06,8.036444e-06,7.0424007e-06,7.242099e-06,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06
58,8.530127e-06,8.036444e-06,7.0424007e-06,7.242099e-06,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06
59,8.036444e-06,7.0424007e-06,7.242099e-06,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06
60,7.0424007e-06,7.242099e-06,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06
61,7.242099e-06,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06
62,7.781941e-06,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06
63,8.717362e-06,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06
64,6.2577187e-06,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05
65,8.362563e-06,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05
66,7.1122054e-06,9.500578e-06,9.138824e-06,7.220159e-06,8.820192e-06,4.934915e-06,6.757318e-06,7.306525e-06,1.4575002e-05,1.4265334e-05,9.20994e-06
